ID,system,Donor,Aux,Bridge,Anchor,VIP_eV,VEA_eV,I_AIP_electronic_eV,A_AEA_electronic_eV,AIP_Gibbs_eV,AEA_Gibbs_eV,chi_eV,mu_eV,eta_eV,softness_eV_inv,omega_eV,I_minus_A_eV,lambda_h_eV,lambda_e_eV,lambda_total_eV,CT_percent,Anchor_electron_percent,Donor_to_Anchor_net_e,off_diagonal_fraction,optical_value,PCC_nm,PCB_nm,dominated_by_count,pareto_front,epsilon_dominated_by_count,epsilon_pareto_front,z_optical,z_CT,z_reorg,core_compromise_score,distance_to_ideal,z_anchor,z_TDM,mechanistic_support_score,sigma_ev,source,optical_metric
D15,D15_PTZ_BTD_TT_CAA,PTZ,BTD,TT,CAA,5.01602639,3.37544076,4.81053553,3.50912976,4.86109646,3.59944054,4.159832645,-4.159832645,0.6507028850000001,0.7683998511855376,13.296550571162516,1.30140577,0.37032084,0.25269772,0.62301856,74.688,14.47,0.05022,0.5715069108060646,0.3569921358720276,518.7187506460568,50.13602789189196,3,False,4,False,0.6878756684751105,0.906491885143571,0.1015036960688609,0.5652904165625142,0.9557515231752342,0.0,0.8777051480279325,0.43885257401396627,0.2,LEDB3,PCF_sigma_0.20
D16,D16_PTZ_BTD_TT_RAA,PTZ,BTD,TT,RAA,5.00446101,3.32119105,4.80024282,3.44621948,4.80610225,3.56191604,4.1232311500000005,-4.1232311500000005,0.6770116700000002,0.738539706413037,12.555939483532333,1.3540233400000004,0.37124875,0.24034103,0.6115897800000001,75.203,21.35,0.05454,0.5720088908396997,0.4167642128605883,524.6286754545678,51.75430506993119,0,True,0,True,0.9245509406015755,0.9707865168539332,0.13940243719892864,0.6782466315514791,0.8643923607140316,0.18385889898450028,0.8787940781890673,0.5313264885867838,0.2,LEDB3,PCF_sigma_0.20
D01,D01_TPA_NONE_T_CAA,TPA,NONE,T,CAA,5.0901562,3.12777197,5.02117669,3.28423364,5.08148148,3.39244352,4.152705165,-4.152705165,0.8684715249999999,0.5757241148464828,9.928339439463882,1.7369430499999998,0.11174655,0.29789665,0.4096432,70.577,37.98,0.18657,0.2489111733662811,0.2486893609624486,478.0125059181219,38.6443599393424,4,False,4,False,0.11462920762033466,0.39325842696629154,0.8090733169885994,0.43898698385840856,1.0901696082409154,0.6282736504543024,0.17790793536218272,0.40309079290824257,0.2,LEDB4,PCF_sigma_0.20
D02,D02_TPA_NONE_T_RAA,TPA,NONE,T,RAA,5.04126849,3.12996821,4.98357328,3.25670415,5.01696328,3.38204877,4.120138715,-4.120138715,0.8634345649999999,0.5790826777938871,9.830242915305256,1.72686913,0.12017637,0.25915117,0.37932754,69.983,51.89,0.19012,0.269464825092078,0.2955335454226037,485.9351948561576,42.46478728631008,2,False,3,False,0.29705701866792633,0.31910112359550563,0.9096024505030391,0.5085868642554904,0.9828142407637276,1.0,0.22249435272146376,0.6112471763607319,0.2,LEDB4,PCF_sigma_0.20
D03,D03_TPA_NONE_TT_CAA,TPA,NONE,TT,CAA,5.05277728,3.18736328,4.99420286,3.32592257,5.04874618,3.45263511,4.160062715,-4.160062715,0.8341401449999999,0.5994196574725462,10.373629597178285,1.6682802899999998,0.11402333,0.27610795,0.3901312799999999,68.089,36.08,0.13624,0.252109328320968,0.2936855406588246,485.0729387097784,42.10175924935483,4,False,5,False,0.2898602349530023,0.08264669163545477,0.8737763915976654,0.41542777272870746,1.166948146914201,0.577498663816141,0.18484559653751306,0.38117213017682705,0.2,LEDB4,PCF_sigma_0.20
D04,D04_TPA_NONE_TT_RAA,TPA,NONE,TT,RAA,5.01761962,3.18246577,4.94952476,3.30351943,5.02431036,3.37524593,4.126522095,-4.126522095,0.823002665,0.6075314470579509,10.345157631125772,1.64600533,0.13825833,0.24401539,0.38227372,67.427,50.18,0.13417,0.1668983551300852,0.339143156915407,493.4663096780529,45.37570132284154,2,False,3,False,0.4668882593427408,0.0,0.8998326839013037,0.45557364774801484,1.137647405500065,0.9543025120256547,0.0,0.4771512560128274,0.2,LEDB4,PCF_sigma_0.20
D05,D05_TPA_BTD_T_CAA,TPA,BTD,T,CAA,5.04680819,3.38230674,4.99307604,3.53598984,4.96349291,3.63821676,4.2645329400000005,-4.2645329400000005,0.7285431,0.686301194809202,12.48123906213994,1.4570862,0.1088118,0.28619385,0.39500565,74.294,15.55,0.06196,0.5009125244839033,0.3590956285628179,513.0866797956338,49.41638666190006,2,False,2,False,0.5445902360037357,0.8573033707865166,0.8576125939917816,0.7531687335940113,0.49803067628588177,0.028861571352218066,0.7245668729528656,0.37671422215254186,0.2,LEDB4,PCF_sigma_0.20
D06,D06_TPA_BTD_T_RAA,TPA,BTD,T,RAA,5.0340885,3.32617836,4.97840067,3.47259303,5.01108562,3.58295044,4.22549685,-4.22549685,0.75290382,0.6640954484730865,11.85730710554764,1.50580764,0.10890432,0.27493269,0.38383701,74.75,22.03,0.065,0.5090548317371103,0.4019016959290918,513.2603188796531,50.23024518218217,1,False,1,False,0.7112921918426152,0.9142322097378279,0.8946486902448308,0.8400576972750913,0.3190724225072215,0.20203099946552647,0.7422297347305292,0.47213036709802786,0.2,LEDB4,PCF_sigma_0.20
D07,D07_TPA_BTD_TT_CAA,TPA,BTD,TT,CAA,5.03634786,3.37466741,4.98133297,3.50388204,4.99894934,3.61549526,4.2426075050000005,-4.2426075050000005,0.7387254650000001,0.6768414298537819,12.182955166898386,1.4774509300000005,0.10810485,0.25150777,0.35961262,73.75,14.52,0.046,0.3952570232230634,0.4265130514179723,519.3436265161833,51.0508259845316,1,False,1,False,0.8071375088332343,0.7893882646691636,0.9749786892161829,0.857168154239527,0.2866693383524953,0.001336183858898956,0.49537157771453433,0.24835388078671664,0.2,LEDB4,PCF_sigma_0.20
D08,D08_TPA_BTD_TT_RAA,TPA,BTD,TT,RAA,5.02517269,3.32108819,4.96767394,3.44502926,4.98621442,3.55758943,4.2063516,-4.2063516,0.76132234,0.656752040141105,11.620172463888656,1.52264468,0.11340182,0.23866535,0.35206717,74.758,21.66,0.05156,0.4121693902561036,0.4760366742679121,522.412391024398,52.22511815249921,0,True,0,True,1.0,0.9152309612983767,1.0,0.9717436537661256,0.08476903870162333,0.19214323890967394,0.5320590659102234,0.36210115240994867,0.2,LEDB4,PCF_sigma_0.20
