sigma_ev,light_source,order,term,response,mean_plus,mean_minus,effect,abs_effect
0.3,LEDB3,1,Donor,PCF,0.3633074962372365,0.39695140237225185,-0.03364390613501533,0.03364390613501533
0.3,LEDB3,2,Aux×Bridge,PCF,0.3856598757372873,0.37459902287220104,0.01106085286508629,0.01106085286508629
0.3,LEDB3,2,Donor×Anchor,PCF,0.3845589188469992,0.37569997976248914,0.008858939084510076,0.008858939084510076
0.3,LEDB3,2,Donor×Aux,PCF,0.3836798192735474,0.376579079335941,0.007100739937606404,0.007100739937606404
0.3,LEDB3,2,Donor×Bridge,PCF,0.37817537204104673,0.38208352656844163,-0.0039081545273949025,0.0039081545273949025
0.3,LEDB3,2,Bridge×Anchor,PCF,0.3797953604182007,0.38046353819128764,-0.0006681777730869198,0.0006681777730869198
0.3,LEDB3,2,Aux×Anchor,PCF,0.38001648117335685,0.38024241743613146,-0.00022593626277461754,0.00022593626277461754
0.3,LEDB4,1,Aux,PCF,0.47681422641215776,0.3475885369435121,0.12922568946864565,0.12922568946864565
0.3,LEDB4,1,Anchor,PCF,0.4455700354289104,0.3788327279267595,0.0667373075021509,0.0667373075021509
0.3,LEDB4,1,Bridge,PCF,0.4451678074193457,0.37923495593632417,0.06593285148302153,0.06593285148302153
0.3,LEDB4,1,Donor,PCF,0.395121173544118,0.42928158981155184,-0.034160416267433824,0.034160416267433824
0.3,LEDB4,2,Aux×Bridge,PCF,0.4170849287343263,0.4073178346213435,0.009767094112982766,0.009767094112982766
0.3,LEDB4,2,Donor×Anchor,PCF,0.4166986448531104,0.4077041185025594,0.008994526350551035,0.008994526350551035
0.3,LEDB4,2,Donor×Aux,PCF,0.416345052273022,0.4080577110826479,0.008287341190374109,0.008287341190374109
0.3,LEDB4,2,Donor×Bridge,PCF,0.41067599569113594,0.413726767664534,-0.0030507719733980365,0.0030507719733980365
0.3,LEDB4,2,Bridge×Anchor,PCF,0.4112881447188909,0.4131146186367789,-0.001826473917887983,0.001826473917887983
0.3,LEDB4,2,Aux×Anchor,PCF,0.4118257955665063,0.41257696778916353,-0.0007511722226572481,0.0007511722226572481
