system,ID,Donor,Aux,Bridge,Anchor,functional,state,symmetry,energy_eV,wavelength_nm,oscillator_strength,normal_termination,log_file,checkpoint_file,formatted_checkpoint_file
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,2,Singlet-?Sym,3.6651,338.28,0.0045,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,3,Singlet-?Sym,3.8672,320.61,0.0894,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,4,Singlet-?Sym,4.0915,303.03,0.038,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,5,Singlet-?Sym,4.1702,297.31,0.1891,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,6,Singlet-?Sym,4.357,284.56,0.2469,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,7,Singlet-?Sym,4.6916,264.27,0.0356,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,8,Singlet-?Sym,4.7921,258.73,0.014,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,9,Singlet-?Sym,4.9042,252.81,0.0309,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,10,Singlet-?Sym,4.9944,248.25,0.0,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,11,Singlet-?Sym,5.0555,245.25,0.0168,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,12,Singlet-?Sym,5.0731,244.39,0.0005,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,13,Singlet-?Sym,5.0991,243.15,0.0591,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
D03_TPA_NONE_TT_CAA,D03,TPA,NONE,TT,CAA,CAMB3LYP,14,Singlet-?Sym,5.1899,238.9,0.0007,True,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.log,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.chk,04A_D03_TPA_NONE_TT_CAA_TD_CAMB3LYP_30S.fchk
